"Palabra clave",Dificultad,Posición,"Posición anterior","Posición de las Funciones SERP","Vol. de búsqueda","Intención de búsqueda","Funciones SERP",Competencia,CPC,URL,Tráfico,"Cuota del tráfico","Coste del tráfico"
"registro horario digital",11,1,,"Vistas creadas con IA",810,"L, C","Reseñas, Preguntas relacionadas, GBP, Vistas creadas con IA, Búsquedas relacionadas",0.93,1.64,https://kaicontrol.com/blog/fecha-vigor-registro-horario-digital/,10,14.49,16.42
"registro jornada laboral digital",15,6,,,390,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",1,1.51,https://kaicontrol.com/blog/se-retrasara-el-control-horario-digital-hasta-2027-como-verifactu/,7,10.14,10.58
"fichajes digital",16,1,,"Vistas creadas con IA",480,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",1,2.36,https://kaicontrol.com/blog/normativa-fichaje-digital-2026/,4,5.8,9.43
"nueva ley control horario trabajadores",14,2,,"Preguntas relacionadas",480,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Encontrar resultados en, Búsquedas relacionadas",0.45,0.53,https://kaicontrol.com/blog/se-retrasara-el-control-horario-digital-hasta-2027-como-verifactu/,4,5.8,2.13
"fichaje digital",12,1,,"Vistas creadas con IA",480,I,"Vídeo, Preguntas relacionadas, Vistas creadas con IA",1,2.36,https://kaicontrol.com/blog/normativa-fichaje-digital-2026/,4,5.8,9.43
"cuándo entra en vigor",5,4,,,110,I,"Preguntas relacionadas, Búsquedas relacionadas",0,0,https://kaicontrol.com/blog/fecha-vigor-registro-horario-digital/,4,5.8,0
"registro de horas",27,2,,"Preguntas relacionadas",210,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.94,1.92,https://kaicontrol.com/blog/se-retrasara-el-control-horario-digital-hasta-2027-como-verifactu/,3,4.35,5.76
"registro horario digital",11,12,19,,810,"L, C","Reseñas, Preguntas relacionadas, GBP, Vistas creadas con IA, Búsquedas relacionadas",0.93,1.64,https://kaicontrol.com/blog/fecha-vigor-registro-horario-digital/,3,4.35,4.93
"registro de horarios",20,3,,"Preguntas relacionadas",210,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.94,1.92,https://kaicontrol.com/blog/se-retrasara-el-control-horario-digital-hasta-2027-como-verifactu/,3,4.35,5.76
"real decreto-ley 8/2019 de 8 de marzo",24,2,,"Preguntas relacionadas",170,I,"Reseñas, Preguntas relacionadas, Búsquedas relacionadas",0,0,https://kaicontrol.com/blog/se-retrasara-el-control-horario-digital-hasta-2027-como-verifactu/,3,4.35,0
"registro de jornada laboral",13,2,,"Preguntas relacionadas",390,I,"Fragmentos destacados, Reseñas, Vídeo, Noticias destacadas, Preguntas relacionadas, Búsquedas relacionadas",0.86,1.49,https://kaicontrol.com/blog/se-retrasara-el-control-horario-digital-hasta-2027-como-verifactu/,2,2.9,2.99
"fichaje horario",12,3,,"Preguntas relacionadas",170,I,"Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0.94,3.04,https://kaicontrol.com/blog/se-retrasara-el-control-horario-digital-hasta-2027-como-verifactu/,2,2.9,6.08
"registro horas",27,4,,"Preguntas relacionadas",110,"L, C","Resultados locales, Reseñas, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.49,2.37,https://kaicontrol.com/blog/se-retrasara-el-control-horario-digital-hasta-2027-como-verifactu/,2,2.9,4.73
"nueva ley registro jornada laboral",16,7,7,,30,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0.15,0.18,https://kaicontrol.com/blog/fecha-vigor-registro-horario-digital/,1,1.45,0.18
