"Palabra clave",Dificultad,Posición,"Posición anterior","Posición de las Funciones SERP","Vol. de búsqueda","Intención de búsqueda","Funciones SERP",Competencia,CPC,URL,Tráfico,"Cuota del tráfico","Coste del tráfico"
"ficha digital",10,1,2,,260,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.56,1.26,https://www.openhr.cloud/blog/ley-fichaje-digital-obligatorio,67,8.65,84.26
"absentismo laboral",91,1,,"Vistas creadas con IA",8100,I,"Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA",0.04,0.32,https://www.openhr.cloud/blog/absentismo-laboral,64,8.26,20.68
"openhr app",8,1,1,,140,"L, C","Reseñas, Preguntas relacionadas, GBP, Búsquedas relacionadas",0.44,0.45,https://www.openhr.cloud/es/app-openhr,28,3.61,12.47
"openhr descargar",11,1,1,,50,I,"Reseñas, Búsquedas relacionadas",0.41,0.47,https://www.openhr.cloud/es/app-openhr,18,2.32,8.49
"insatisfaccion laboral",4,4,4,,320,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Panel de información, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/insatisfaccion-laboral,14,1.81,0
"openhr la rinconada",4,3,4,,480,"I, N","Enlaces del sitio, Preguntas relacionadas, Búsquedas relacionadas",0.04,0.48,https://www.openhr.cloud/es/portal-del-empleado,13,1.68,6.24
"talent map",7,1,1,,40,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.02,0,https://www.openhr.cloud/blog/talent-map-mapa-de-talento,10,1.29,0
"compensacion y beneficio",4,2,4,,90,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.41,5.03,https://www.openhr.cloud/blog/compensacion-beneficios-que-es-y-su-importancia,9,1.16,45.27
"parte de trabajo",39,6,6,,1100,"I, N","Reseñas, Enlaces del sitio, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.17,1.05,https://www.openhr.cloud/blog/partes-de-trabajo,8,1.03,8.38
"ejemplo de evaluacion de desempeño",7,17,,,170,"I, N","Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Infracción de copyright, Vistas creadas con IA, Búsquedas relacionadas",0.15,0.27,https://www.openhr.cloud/blog/evaluacion-del-desempeno,8,1.03,2.17
"softwares de recursos humanos",29,25,24,,390,I,"Reseñas, Preguntas relacionadas, Búsquedas relacionadas",0.75,3.88,https://www.openhr.cloud/,7,0.9,27.14
"openhr login",3,3,8,Reseñas,110,I,"Reseñas, Vídeo, Búsquedas relacionadas",0.05,0,https://www.openhr.cloud/en/,7,0.9,0
"ejemplos organigramas",4,19,15,,480,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0,0,https://www.openhr.cloud/blog/organigrama-de-empresa,6,0.77,0
"comunicaciones internas en la empresa",8,29,17,,390,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0.13,0.19,https://www.openhr.cloud/blog/comunicacion-interna,6,0.77,1.15
"ejemplos de organigramas",5,17,18,,320,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas, Imagen",0,0,https://www.openhr.cloud/blog/organigrama-de-empresa,5,0.65,0
"planes de carrera",12,1,,"Vistas creadas con IA",480,I,"Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA",0.01,0,https://www.openhr.cloud/blog/planes-de-carrera,5,0.65,0
openhr,16,1,1,"Enlaces del sitio",10,"L, N","Reseñas, Enlaces del sitio, Vídeo, Preguntas relacionadas, Imágenes, Anuncios al final, GBP, Búsquedas relacionadas",0.2,0.42,https://www.openhr.cloud/,5,0.65,2.1
"portal del empleado madrid",5,26,46,Reseñas,440,I,"Reseñas, Vídeo, Imágenes, Búsquedas relacionadas",0,0,https://www.openhr.cloud/es/portal-del-empleado,5,0.65,0
"hr software",27,1,,"Vistas creadas con IA",260,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.62,4.98,https://www.openhr.cloud/,5,0.65,24.89
"parte de trabajo diario pdf",10,14,12,,70,"I, N","Reseñas, Vídeo, Infracción de copyright, Búsquedas relacionadas",0.09,0,https://www.openhr.cloud/blog/partes-de-trabajo,5,0.65,0
"recursos humanos que es",23,6,6,,390,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.02,0.57,https://www.openhr.cloud/blog/recursos-humanos-funciones-dentro-de-la-empresa,5,0.65,2.84
"parte diario de trabajo",4,7,6,,210,"I, N","Vídeo, Preguntas relacionadas, Infracción de copyright, Búsquedas relacionadas",0.63,0.31,https://www.openhr.cloud/blog/partes-de-trabajo,5,0.65,1.57
