keyword,volume,kd,cpc_usd_cents,intent,cluster,status,target_page
calculadora de horas,8500,1,5,info,herramientas,GAP,NUEVA herramienta sumar horas/minutos
calculadora horas,3400,4,8,info,herramientas,GAP,NUEVA herramienta sumar horas/minutos
calculadora de horas y minutos,2700,2,7,info,herramientas,GAP,NUEVA herramienta sumar horas/minutos
calculadora horas y minutos,1000,1,80,info,herramientas,GAP,NUEVA herramienta sumar horas/minutos
calculadora horas trabajadas,600,1,60,info,herramientas,COVERED,/herramientas/calculadora-horas-trabajadas
calculadora de horas trabajadas,500,1,50,info,herramientas,COVERED,/herramientas/calculadora-horas-trabajadas
calculadora horas de trabajo,200,1,50,info,herramientas,COVERED,/herramientas/calculadora-horas-trabajadas
calculadora de horas minutos y segundos,200,0,30,info,herramientas,GAP,herramienta sumar horas (variante)
calculadora horas laborales,40,2,45,info,herramientas,COVERED,/herramientas/calculadora-horas-trabajadas
calculadora horas extras,60,1,0,info,herramientas,COVERED,/herramientas/calculadora-horas-extras
control horario,5300,15,250,info,landing,COVERED,/ (landing)
control horario digital,1200,8,200,comm,landing,COVERED,/ + blog
control horario digital obligatorio,800,0,130,info,normativa,GAP,NUEVA landing/pillar normativa
software control horario,600,6,400,comm,landing,COVERED,/ (landing)
app control horario,500,24,400,comm,landing,COVERED,/ (landing)
mejor app control horario gratis,400,4,80,info,comparativa,GAP,NUEVO post/comparativa
control horario trabajadores gratis,400,33,80,info,landing,PARTIAL,/ (landing)
software control horario gratuito,350,3,110,info,blog,GAP,NUEVO post gratis
software de control horario,350,10,250,comm,landing,COVERED,/ (landing)
nueva ley control horario trabajadores,300,5,50,info,normativa,GAP,NUEVO post normativa 2026
control horario empresas pequeñas,300,0,160,info,landing,GAP,NUEVO post/landing pyme (ICP)
control horario empleados,300,32,300,comm,landing,COVERED,/ (landing)
ley de control horario,250,8,40,info,normativa,GAP,NUEVO post normativa
programas de control horario,250,7,0,comm,comparativa,GAP,NUEVO post software
plantilla control horario pdf gratis,250,0,50,info,recursos,PARTIAL,/recursos/plantilla-control-horario (añadir PDF)
control horario teletrabajo,150,0,0,info,blog,COVERED,/blog/obligatorio-fichar-teletrabajo
app control horario gratis,150,12,100,info,blog,GAP,NUEVO post apps gratis
app control horario trabajadores,150,14,300,info,blog,GAP,NUEVO post apps
aplicaciones control horario,150,11,600,comm,blog,GAP,NUEVO post apps
control horario gratuito,150,3,160,info,blog,GAP,NUEVO post gratis
sistema de control horario,150,10,500,info,landing,PARTIAL,/ (landing)
normativa control horario,100,4,45,info,normativa,GAP,post normativa
control horario trabajadores normativa,100,6,45,info,normativa,GAP,post normativa
mejor software control horario,100,0,0,comm,comparativa,GAP,NUEVO hub comparativo
control horario pymes,100,0,0,info,landing,GAP,post/landing pyme (ICP)
fichaje digital obligatorio,1400,0,160,info,normativa,GAP,NUEVA landing/pillar (KD0 alto vol)
fichaje digital,400,6,250,info,normativa,PARTIAL,landing/blog
ley fichaje digital boe,350,0,0,info,normativa,GAP,post normativa BOE
fichaje digital obligatorio 2026,300,0,0,info,normativa,GAP,post normativa 2026
nueva ley control horario trabajadores 2025 boe,300,0,90,info,normativa,GAP,post normativa BOE
fichar en el trabajo,800,2,110,info,blog,GAP,NUEVO post pilar fichar
aplicaciones para fichar en el trabajo,450,4,150,info,blog,GAP,NUEVO post apps fichar
es obligatorio fichar en el trabajo,400,4,5,info,blog,GAP,NUEVO post (pregunta/GEO)
app para fichar en el trabajo,350,16,140,info,blog,GAP,NUEVO post apps fichar
fichar con el movil,200,0,90,info,blog,GAP,post fichar movil
fichar en el trabajo con el movil,200,0,80,info,blog,GAP,post fichar movil
app para fichar en el trabajo gratis,200,3,90,info,blog,GAP,post apps gratis
programa para fichar en el trabajo gratis,150,3,110,info,blog,GAP,post programa gratis
fichar en el trabajo normativa,150,3,40,info,normativa,GAP,post normativa fichar
es legal fichar con geolocalizacion,150,0,30,info,blog,COVERED,/blog/fichados-geolocalizacion-fichajes
formas de fichar en el trabajo,150,0,90,info,blog,GAP,post formas de fichar
maquina de fichar,200,0,80,comm,blog,GAP,post (hardware vs app)
aparato para fichar en el trabajo,200,0,70,comm,blog,GAP,post (hardware vs app)
registro de jornada,800,8,200,info,normativa,COVERED,/blog/guia-registro-jornada-2026
registro jornada laboral,800,15,160,info,normativa,COVERED,/blog/guia-registro-jornada-2026
registro jornada laboral digital,400,0,0,info,normativa,PARTIAL,blog/landing
registro de jornada digital,350,0,0,info,normativa,PARTIAL,blog/landing
registro digital jornada laboral,300,0,160,info,normativa,PARTIAL,blog/landing
registro diario de jornada pdf,300,0,60,info,recursos,GAP,recurso PDF imprimible
plantilla registro jornada laboral pdf,300,0,60,info,recursos,PARTIAL,/recursos/modelo-registro-jornada (añadir PDF)
registro de jornada digital obligatorio,250,0,100,info,normativa,PARTIAL,blog/landing
plantilla registro jornada laboral,250,0,110,info,recursos,COVERED,/recursos/modelo-registro-jornada
software registro jornada laboral,150,12,160,comm,landing,PARTIAL,landing
hoja registro jornada laboral para imprimir,150,0,60,info,recursos,GAP,recurso PDF imprimible
app registro jornada laboral,100,25,160,info,landing,PARTIAL,landing
registro jornada autonomos,40,0,0,info,sector,COVERED,/sectores/autonomos
plantilla horario semanal,800,1,60,info,recursos,GAP,NUEVO recurso plantilla horario semanal
horario semanal plantilla,350,0,60,info,recursos,GAP,NUEVO recurso plantilla horario semanal
plantilla horario semanal editable,200,0,50,info,recursos,GAP,recurso plantilla horario semanal
plantilla de horario semanal,200,1,100,info,recursos,GAP,recurso plantilla horario semanal
plantilla horario semanal excel,150,1,80,info,recursos,GAP,recurso plantilla horario semanal
plantilla horario semanal word,100,1,15,info,recursos,GAP,recurso plantilla horario semanal
plantilla horario semanal trabajo,40,0,80,info,recursos,GAP,recurso plantilla horario semanal
plantilla horario laboral,40,0,70,info,recursos,GAP,recurso plantilla horario semanal
plantilla excel horario laboral,60,0,60,trans,recursos,GAP,recurso plantilla horario semanal
plantilla horario trabajo,50,0,70,info,recursos,PARTIAL,/recursos/plantilla-cuadrante-horario
plantilla de horario de trabajo,70,0,70,info,recursos,PARTIAL,/recursos/plantilla-cuadrante-horario
cuadrante de trabajo,400,0,90,info,recursos,COVERED,/recursos/plantilla-cuadrante-horario
plantilla cuadrante mensual excel gratis,300,1,60,info,recursos,COVERED,/recursos/plantilla-cuadrante-horario
plantilla cuadrante de trabajo,200,3,80,info,recursos,COVERED,/recursos/plantilla-cuadrante-horario
cuadrante turnos,150,0,70,info,recursos,COVERED,/recursos/plantilla-turnos-trabajo
como hacer un cuadrante de turnos,100,0,60,info,blog,GAP,post how-to cuadrante turnos
hacer cuadrante de turnos online gratis,100,0,0,trans,herramientas,GAP,NUEVA herramienta generador cuadrante
cuadrante de trabajo mensual,100,0,130,info,recursos,COVERED,/recursos/plantilla-cuadrante-horario
plantilla control horario trabajadores,150,0,100,info,recursos,COVERED,/recursos/plantilla-registro-horario-trabajadores
plantilla control horario excel gratis,150,0,0,info,recursos,COVERED,/recursos/plantilla-control-horario
plantillas hoja de control horario de trabajo,100,0,100,info,recursos,COVERED,/recursos/plantilla-control-horario
factorial fichaje,350,2,200,info,comparativa,COVERED,/comparar/fichados-vs-factorial
sesame control horario,450,0,170,info,comparativa,COVERED,/comparar/fichados-vs-sesame
sesame fichaje,600,0,150,info,comparativa,COVERED,/comparar/fichados-vs-sesame
intratime control horario,600,0,0,info,comparativa,GAP,NUEVA comparativa vs intratime
intratime fichaje web,600,0,90,nav,comparativa,GAP,NUEVA comparativa vs intratime
woffu control horario,250,1,130,info,comparativa,GAP,NUEVA comparativa vs woffu
bixpe control horario,3800,1,5,info,comparativa,GAP,evaluar comparativa vs bixpe (intent login)
sage control horario,150,0,250,info,comparativa,GAP,evaluar comparativa vs sage
